0.0, 0.0, 0.0, 0.0
1.0, 1.0, 0.24, 0.16
2.0, 2.0, 0.04, 0.36
3.0, 2.0, 0.36, 0.24
3.0, 4.0, 0.32, 0.2
4.0, 4.0, 0.0, 0.84
5.0, 5.0, 0.36, 0.16
6.0, 6.0, 0.28, 0.32
6.0, 7.0, 0.28, 0.48
7.0, 8.0, 0.24, 0.48
8.0, 9.0, 0.08, 0.64
9.0, 9.0, 0.2, 0.44
10.0, 10.0, 0.44, 0.36
11.0, 11.0, 0.36, 0.2
11.0, 12.0, 0.2, 0.48
13.0, 12.0, 0.16, 0.8
14.0, 13.0, 0.68, 0.16
14.0, 15.0, 0.48, 0.24
15.0, 15.0, 0.08, 0.32
16.0, 16.0, 0.4, 0.16
17.0, 17.0, 0.16, 0.4
18.0, 17.0, 0.32, 0.36
19.0, 18.0, 0.8, 0.12
20.0, 19.0, 0.24, 0.16
21.0, 20.0, 0.56, 0.16
22.0, 21.0, 0.72, 0.08
23.0, 20.0, 0.8, 0.12
23.0, 21.0, 0.96, 0.0
23.0, 21.0, 1.0, 0.0
24.0, 21.0, 1.0, 0.0
24.0, 21.0, 1.0, 0.0
24.0, 21.0, 1.0, 0.0
24.0, 22.0, 1.0, 0.0
25.0, 22.0, 0.92, 0.0
25.0, 23.0, 1.0, 0.0
25.0, 23.0, 0.92, 0.0
25.0, 24.0, 0.76, 0.12
26.0, 25.0, 0.68, 0.12
27.0, 25.0, 0.64, 0.2
27.0, 25.0, 1.0, 0.0
27.0, 25.0, 1.0, 0.0
27.0, 25.0, 1.0, 0.0
27.0, 25.0, 1.0, 0.0
27.0, 25.0, 0.96, 0.0
28.0, 25.0, 0.96, 0.04
28.0, 25.0, 1.0, 0.0
28.0, 26.0, 0.96, 0.0
28.0, 26.0, 0.92, 0.0
28.0, 26.0, 1.0, 0.0
28.0, 27.0, 0.96, 0.0
29.0, 27.0, 0.92, 0.0
29.0, 27.0, 0.88, 0.0
29.0, 27.0, 0.92, 0.0
29.0, 27.0, 0.88, 0.04
29.0, 28.0, 0.76, 0.0
30.0, 28.0, 0.44, 0.12
30.0, 29.0, 0.8, 0.04
31.0, 30.0, 0.76, 0.04
31.0, 31.0, 0.68, 0.24
31.0, 32.0, 0.48, 0.2
32.0, 33.0, 0.32, 0.52
32.0, 33.0, 0.08, 0.56
33.0, 34.0, 0.2, 0.72
34.0, 34.0, 0.52, 0.48
35.0, 35.0, 0.48, 0.16
35.0, 36.0, 0.24, 0.4
36.0, 37.0, 0.2, 0.68
38.0, 37.0, 0.16, 0.68
38.0, 37.0, 0.6, 0.04
39.0, 38.0, 0.6, 0.16
40.0, 39.0, 0.44, 0.28
40.0, 39.0, 0.64, 0.16
41.0, 41.0, 0.76, 0.08
42.0, 42.0, 0.28, 0.48
42.0, 43.0, 0.2, 0.2
43.0, 43.0, 0.2, 0.68
44.0, 44.0, 0.56, 0.04
44.0, 44.0, 0.12, 0.12
44.0, 44.0, 0.16, 0.48
45.0, 45.0, 0.16, 0.28
46.0, 46.0, 0.16, 0.52
47.0, 46.0, 0.36, 0.32
47.0, 47.0, 0.68, 0.12
48.0, 48.0, 0.28, 0.24
48.0, 48.0, 0.08, 0.32
49.0, 48.0, 0.36, 0.08
49.0, 49.0, 0.28, 0.12
50.0, 50.0, 0.4, 0.16
50.0, 50.0, 0.52, 0.04
51.0, 51.0, 0.44, 0.2
51.0, 52.0, 0.12, 0.48
51.0, 52.0, 0.12, 0.56
52.0, 52.0, 0.24, 0.6
53.0, 53.0, 0.4, 0.24
54.0, 54.0, 0.36, 0.24
55.0, 54.0, 0.52, 0.12
55.0, 55.0, 0.48, 0.24
56.0, 56.0, 0.44, 0.4
56.0, 57.0, 0.32, 0.36
57.0, 58.0, 0.04, 0.68
57.0, 58.0, 0.12, 0.76
57.0, 58.0, 0.16, 0.56
59.0, 58.0, 0.0, 0.6
59.0, 59.0, 0.44, 0.24
60.0, 60.0, 0.36, 0.32
60.0, 60.0, 0.56, 0.36
61.0, 61.0, 0.6, 0.28
61.0, 62.0, 0.16, 0.6
62.0, 62.0, 0.2, 0.48
63.0, 63.0, 0.2, 0.56
63.0, 63.0, 0.24, 0.4
64.0, 63.0, 0.2, 0.16
64.0, 64.0, 0.6, 0.16
64.0, 65.0, 0.28, 0.56
64.0, 65.0, 0.12, 0.52
64.0, 65.0, 0.12, 0.56
64.0, 65.0, 0.04, 0.84
64.0, 66.0, 0.0, 0.84
